1	Samajavaragamana	Telugu	00:03:39	1	Filmi	assets\\audio\\Samajavaragamana-Naasongs.me.mp3
2	Yaar Azhaippadhu	Tamil	00:04:10	2	Filmi	assets\\audio\\Yaar-Azhaippadhu-MassTamilan.fm.mp3
3	Tujh mein Rab Dikhta Hai	Hindi	00:04:41	3	Filmi	assets\\audio\\Tujh Mein Rab Dikhta Hai - Rab Ne Bana Di Jodi 128 Kbps.mp3
4	Parayuvan	Malayalam	00:04:37	4	Filmi	assets\\audio\\Parayuvaan-Kuttyweb.xyz.mp3
5	Soul of Dia	Kannada	00:03:34	5	Filmi	assets\\audio\\Soul-Of-Dia-Sanjith-Hegde-Chinmayi-Sripada.mp3
6	Believer	English	00:03:24	6	Rock	assets\\audio\\Believer - Imagine Dragons (DJJOhAL.Com).mp3
7	Buttabomma	Telugu	00:03:18	1	Filmi	assets\\audio\\Buttabomma-MassTamilan.io.mp3
8	A Thousand Years	English	00:04:45	8	Pop	assets\\audio\\Christina Perri - A Thousand Years.mp3
9	Tum Hi Ho	Hindi	00:04:37	9	Filmi	assets\\audio\\Tum Hi Ho.mp3
10	Inkem Inkem Inkem Kavale	Telugu	00:04:26	10	Filmi	assets\\audio\\[iSongs.info] 01 - Inkem Inkem Inkem Kaavaale.mp3
11	Girl On fire	English	00:03:44	11	Pop	assets\\audio\\Alicia-Keys-Girl-On-Fire.mp3
12	Arere Yekkada	Telugu	00:03:24	12	Filmi	assets\\audio\\[iSongs.info] 02 - Arere Yekkada.mp3
13	Othaiyadi Pathayila	Tamil	00:04:09	13	Filmi	assets\\audio\\Othaiyadi-Pathayila-MassTamilan.com.mp3
14	Mahanati	Telugu	00:04:44	7	Filmi	assets\\audio\\[iSongs.info] 03 - Mahanati.mp3
\.


